model	model_sha256	model_bytes	throughput_rounds	throughput_repetitions	tg_tps_mean	tg_tps_sd	peak_rss_mib_mean	peak_rss_mib_sd	accuracy_proxy_task	accuracy_proxy	accuracy_samples	score_tpsmax_15.0	score_tpsmax_30.0	score_tpsmax_45.0	score_tpsmax_60.0	score_tpsmax_100.0	score_tpsmax_150.0
IQ4_XS-EQ6_K-tied.gguf	d0126ff98ad40f8c542dee5b443217b65b6560ff8a6d9b5d80e1b953bff4ef2d	1010383200	1	5	13.5379	0.0902	1167.7	0.0	arc_easy								
IQ4_XS-tied.gguf	aea3cb60c57cc93f74f45c36c85c80ae34d65396ec563cfba4742f89b10b6fa3	920437088	2	10	14.0389	0.1042	1082.1	0.14	arc_easy	70.0	50	80.0586	66.0197	61.34	59.0002	56.1924	54.7885
Q3_K_M-EQ6_K-tied.gguf	233203bbcb9a79d0262d5671fb5eb54bd2b1d690741a881a8a590eeee5195479	867252576	2	10	15.1094	0.1794	1031.5	0.14	arc_easy	66.0	50	80.1219	65.2313	60.1949	57.6766	54.6547	53.1438
Q3_K_M-tied.gguf	455de7e1fe116b10b7b34ce5577bfdddb766e86029952e9aa9fc4fa744100e3c	817989984	2	10	15.5122	0.8129	1258.85	0.07	arc_easy	70.0	50	81.4876	66.9998	61.8291	59.2437	56.1412	54.59
Q4_0-prune-L14-tied.gguf	3a142d96183773b3bb5520e754d28b2f3281c81a5227b3cc6396cdc7c76bd4ff	945871584	2	10	17.2093	0.3131	1993.4	0.0	arc_easy	70.0	50	79.4381	66.6474	60.9109	58.0427	54.6009	52.8799
Q4_K_M-tied.gguf	e8a4133261be39c07f73c8d40e1c8334aae90ece9cae9f1cce75a8347f64c315	1027187040	2	10	16.6819	0.2864	1989.85	0.07	arc_easy	72.0	50	80.448	67.1299	61.5693	58.7889	55.4525	53.7844
Q4_K_S-tied.gguf	bff602f561af481da0e837e6f14277f9fc89cc4d90a86f92eafcb4aad9bf3195	979968352	2	10	16.8342	0.995	2030.35	0.07	arc_easy	72.0	50	80.335	67.1692	61.5578	58.7521	55.3852	53.7018
Q5_0-tied.gguf	1fd040bfcaaa6d94f773ef64aeb454a7dd3b3384b3daf5b550dd76e3dd7fab7e	1189257312	1	5	11.2061	0.0658	1338.0	0.0	arc_easy								
Q5_K_M-tied.gguf	17ddf7b5b135bc9fe0ce5449b8f506f91586447f73bf145f14b52b5b4bbe0647	1216553312	1	5	12.8404	0.0738	1364.5	0.0	arc_easy	76.0	50	79.8736	67.0332	62.7531	60.613	58.0449	56.7609
Q6_K-tied.gguf	72b40f27740f09837e8de40afd97ea71f5839839e839eea9c9aadf64f753264a	1417754976	1	5	12.4847	0.0831	1556.3	0.0	arc_easy								
Qwen3-1.7B-Q4_0-pure.gguf	a9ffec7c462d6e8d5ab79f22a1ebb71ad23468d8ce92688cea19da74f5b3252f	1149231520	1	5	16.4909	0.2568	2057.1	0.0	arc_easy	72.0	50	80.2603	66.7512	61.2543	58.5058	55.2076	53.5585
Qwen3.5-0.8B-Q4_K_M.gguf	bd258782e35f7f458f8aced1adc053e6e92e89bc735ba3be89d38a06121dc517	532517120	2	10	26.394	0.3391	872.55	0.07	arc_easy								
Qwen3.5-2B-Q4_K_M.gguf	aaf42c8b7c3cab2bf3d69c355048d4a0ee9973d48f16c731c0520ee914699223	1280835840	1	5	12.6062	0.0943	1921.3	0.0	arc_easy								
Qwen3.5-2B-Q6_K.gguf	fc90339420b4298887aafb307a4291c55440b730133bbffe6ba9630503dcb548	1574961408	1	5	10.583	0.0312	1711.1	0.0	arc_easy								
Qwen3.5-4B-IQ4_XS.gguf	658a9e7e406deb06d0179755e3c14f6a82915a4be4962a2f92a64d948d2e572f	2477053088	1	5	5.3629	0.0199	2639.9	0.0	arc_easy								
bitcpm4-8b-tq2_0-envocab.gguf	069621f168502215839fb82db3afe35beb8e5350fb6cbf8523aa1eea6bee237d	2208746208	2	10	7.4687	0.1207	2315.9	0.0	arc_easy	88.0	50	72.4756	65.0069	62.5174	61.2726	59.7788	59.032
muta-tutor-qwen3-1.7b-q4_0.gguf	a98ce36e9ff97e5271d90cbc429c952f99a5a966bb0195ae74661b4c054fd63e	974198528	3	15	16.588	0.3028	2049.3	0.0	arc_easy	72.0	50	80.2821	66.87	61.3407	58.5761	55.2585	53.5997
