model,role,source_repository,source_revision,source_artifact,source_bytes,source_sha256,test_artifact,test_bytes,test_sha256,quantization,license,runtime_gate
Muta Tutor Qwen2.5 1.5B,control,timiiowolabi/Muta-Tutor-Qwen2.5-1.5B-ADTC-GGUF,a27fa778dd40cf89fc9d66b18cd767e34892ec3a,Muta-Tutor-Qwen2.5-1.5B-Q4_K_M.gguf,986048128,a750d00d458c6ab38925364ea1413db00648449180941e47025736d09922e1eb,Muta-Tutor-Qwen2.5-1.5B-Finetuned-Q4_K_M.gguf,986048128,a750d00d458c6ab38925364ea1413db00648449180941e47025736d09922e1eb,Q4_K_M,Apache-2.0,pass
LFM2.5 1.2B Thinking,challenger,LiquidAI/LFM2.5-1.2B-Thinking-GGUF,9584426effbfa44b677e925793a12188a36b44ce,LFM2.5-1.2B-Thinking-Q4_0.gguf,695751680,cbabfbf76fdb35f0fc9bc8bf175cbb25173060bc8ff14b9b7d81d3c7a84fc16f,LFM2.5-1.2B-Thinking-Q4_0.gguf,695751680,cbabfbf76fdb35f0fc9bc8bf175cbb25173060bc8ff14b9b7d81d3c7a84fc16f,Q4_0,LFM Open License v1.0,pass
MiniCPM5 1B,challenger,openbmb/MiniCPM5-1B-GGUF,3d55fac80935ae6456986ad2384b5cbcc4d6c948,MiniCPM5-1B-F16.gguf,2166551936,68c40b08b1242754a107b9510af89aa75b10c75843ca7844643c70956b7f1e3d,MiniCPM5-1B-Q4_0.gguf,613250432,1e92f54e9255240420fc8756fc90c75556aea43ca76237d36f2b77f10d3771b2,pure Q4_0,Apache-2.0,pass
Qwen3.5 2B,challenger,unsloth/Qwen3.5-2B-GGUF,f6d5376be1edb4d416d56da11e5397a961aca8ae,Qwen3.5-2B-Q4_0.gguf,1214873856,cd70221bebaee0503e0f6717e174250cd7825aa88438b3aabec9ad55731d9bb1,Qwen3.5-2B-Q4_0.gguf,1214873856,cd70221bebaee0503e0f6717e174250cd7825aa88438b3aabec9ad55731d9bb1,Q4_0,Apache-2.0,pass
Qwen3 1.7B,challenger,unsloth/Qwen3-1.7B-GGUF,d7f544eead698dbd1f15126ef60b45a1e1933222,Qwen3-1.7B-Q4_0.gguf,1056782912,c876f159707a4e4f70e045106c69db15bfc935a4981706fd4f65c6e7ea1e81c5,Qwen3-1.7B-Q4_0.gguf,1056782912,c876f159707a4e4f70e045106c69db15bfc935a4981706fd4f65c6e7ea1e81c5,Q4_0,Apache-2.0,pass
LFM2.5 2.6B,challenger,LiquidAI/LFM2.5-2.6B-GGUF,84022ce711b28455e8c4fc364ce68c00cf995875,LFM2.5-2.6B-Q4_0.gguf,1593894912,e1a61bf937bc60726e18626e97f7ee9bfd2574d95744c2ed909de98b78006fbe,LFM2.5-2.6B-Q4_0.gguf,1593894912,e1a61bf937bc60726e18626e97f7ee9bfd2574d95744c2ed909de98b78006fbe,Q4_0,LFM Open License v1.0,pass
Spark-X2.5 1.7B,architecture watchlist,XHToken/Spark-X2.5-1.7B-GGUF,23e1fcac55e7dd71e4c12a23723cc228ba0e5e85,Spark-X2.5-1.7B-Q4_K_M.gguf,1107457856,902bde2522394954ac17821b3e5fd0df02defbc6944f122253f2580acf0503f4,Spark-X2.5-1.7B-Q4_K_M.gguf,1107457856,902bde2522394954ac17821b3e5fd0df02defbc6944f122253f2580acf0503f4,Q4_K_M,Apache-2.0,fail: spark architecture unsupported by b10175
MiniCPM5 2B Q4_K_M,challenger,openbmb/MiniCPM5-2B-GGUF,2079a22f3beaa4e306449978533478fe0522f4b3,MiniCPM5-2B-Q4_K_M.gguf,1561318368,ec2d5801640099e97d8d7e8003ad4d81f336e757811f03a26173dddf386602fd,MiniCPM5-2B-Q4_K_M.gguf,1561318368,ec2d5801640099e97d8d7e8003ad4d81f336e757811f03a26173dddf386602fd,Q4_K_M,Apache-2.0,pass
LFM2.5 2.6B QAD-Q4_0,challenger,LiquidAI/LFM2.5-2.6B-GGUF,84022ce711b28455e8c4fc364ce68c00cf995875,LFM2.5-2.6B-QAD-Q4_0.gguf,1593894944,a247afd6414918eac8e520a9e6137dc271235461ecbe1180462221d5b8d40b03,LFM2.5-2.6B-QAD-Q4_0.gguf,1593894944,a247afd6414918eac8e520a9e6137dc271235461ecbe1180462221d5b8d40b03,QAD-Q4_0,LFM Open License v1.0,pass
MiniCPM5 1B Q4_K_M,quantization control,openbmb/MiniCPM5-1B-GGUF,3d55fac80935ae6456986ad2384b5cbcc4d6c948,MiniCPM5-1B-Q4_K_M.gguf,688065920,81b64d05a23b17b34c475f42b3e72fbde62d4b92cc34541f7a8031d0752deafa,MiniCPM5-1B-Q4_K_M.gguf,688065920,81b64d05a23b17b34c475f42b3e72fbde62d4b92cc34541f7a8031d0752deafa,Q4_K_M,Apache-2.0,pass
Qwen3.5 2B Q4_K_M,quantization control,unsloth/Qwen3.5-2B-GGUF,f6d5376be1edb4d416d56da11e5397a961aca8ae,Qwen3.5-2B-Q4_K_M.gguf,1280835840,aaf42c8b7c3cab2bf3d69c355048d4a0ee9973d48f16c731c0520ee914699223,Qwen3.5-2B-Q4_K_M.gguf,1280835840,aaf42c8b7c3cab2bf3d69c355048d4a0ee9973d48f16c731c0520ee914699223,Q4_K_M,Apache-2.0,pass
VibeThinker 1.5B Q4_K_M,challenger,sirunchained/VibeThinker-1.5B-gguf,d6a1e0f48176eeaf69b616f7c1a22dc915cbf11c,VibeThinker-1.5B-q4_k_m.gguf,1117320960,3df5dae7a65dfd426c8dc58d97ed1247af4b669bc2674c5f9b2b34103b01e164,VibeThinker-1.5B-q4_k_m.gguf,1117320960,3df5dae7a65dfd426c8dc58d97ed1247af4b669bc2674c5f9b2b34103b01e164,Q4_K_M,MIT,pass
Falcon-H1-Tiny-R 0.6B Q4_K_M,challenger,tiiuae/Falcon-H1-Tiny-R-0.6B-GGUF,b01e1ba5d4604914e5dcbd84cf387f4762212a8c,Falcon-H1R-0.6B-Q4_K_M.gguf,374177184,f41497801e96268876a681e65edc7155d15e255bd3de907b6bb29590744b6b74,Falcon-H1R-0.6B-Q4_K_M.gguf,374177184,f41497801e96268876a681e65edc7155d15e255bd3de907b6bb29590744b6b74,Q4_K_M,Falcon LLM License,pass
OpenReasoning Nemotron 1.5B Q4_K_M,challenger,bartowski/nvidia_OpenReasoning-Nemotron-1.5B-GGUF,9b6c802caafdc99c2924ddb374c5a5995f0bb2f1,nvidia_OpenReasoning-Nemotron-1.5B-Q4_K_M.gguf,986046784,7c39e6fa1f335bec37e51404d104b47de0b80aafeaae534080aa8c2e11c71101,nvidia_OpenReasoning-Nemotron-1.5B-Q4_K_M.gguf,986046784,7c39e6fa1f335bec37e51404d104b47de0b80aafeaae534080aa8c2e11c71101,Q4_K_M,CC-BY-4.0,pass
