rank,model,accuracy_percent,scalar_tg128_tok_s,vector_tg128_tok_s,estimated_profiler_peak_rss_mib,s_eff,s_total,vector_s_eff,vector_s_total,artifact,accuracy_samples,accuracy_ci95_low_percent,accuracy_ci95_high_percent,scalar_pp512_tok_s,scalar_tg128_sd,s_acc,s_perf,thermal_status,model_sha256,benchmark_binary_sha256,scalar_hardware_context,accuracy_hardware_context,vector_hardware_context,stem_hardware_context,stem_responses_completed,stem_responses_expected,stem_status,selection_status,vector_pp512_tok_s,vector_tg128_sd,decode_gain,vector_estimated_profiler_peak_rss_mib,vector_s_perf,vector_benchmark_binary_sha256,measured_scalar_peak_rss_mib,measured_vector_peak_rss_mib,rss_root_allowance_mib,gcp_scalar_stem_mc_correct,gcp_scalar_stem_mc_captured,gcp_scalar_stem_written_captured,gcp_scalar_stem_written_grading,gcp_vector_stem_captured,gcp_scalar_judges_captured,mac_judges_captured,mac_judges_finished_nonempty,mac_judges_truncated,mac_judges_error,mac_stem_captured,mac_stem_error,judge_grade_status,source_url,mac_judges_any_final_text,mac_judges_provisional_manual_score,mac_judges_manual_source,mac_judges_manual_response_sha256,mac_stem_mc_correct,mac_stem_mc_captured,mac_stem_written_captured,gcp_scalar_stem_manual_source,mac_stem_manual_strict_passes,mac_stem_manual_core_correct,mac_stem_manual_n,mac_stem_manual_source,mac_stem_manual_response_sha256,mac_stem_manual_status,mac_stem_manual_rank,mac_judges_manual_rank,rank_basis,gcp_scalar_judges_provisional_manual_score,gcp_scalar_judges_manual_n,gcp_scalar_judges_finished_final,gcp_scalar_judges_manual_source,gcp_scalar_judges_manual_prefix_sha256,gcp_scalar_judges_rank_among_reviewed,gcp_scalar_judges_ranking_coverage,mac_stem_math_multiple_choice_strict_passes,mac_stem_math_multiple_choice_core_correct,mac_stem_math_written_strict_passes,mac_stem_math_written_core_correct,mac_stem_science_multiple_choice_strict_passes,mac_stem_science_multiple_choice_core_correct,mac_stem_science_written_strict_passes,mac_stem_science_written_core_correct,gcp_scalar_stem_restart_captured,gcp_scalar_stem_restart_source,gcp_scalar_judges_capture_state,gcp_scalar_judges_error,gcp_scalar_judges_raw_finished_final,gcp_scalar_judges_raw_truncated,gcp_scalar_judges_response_snapshot_sha256,gcp_scalar_judges_event_snapshot_sha256
1,MiniCPM5 1B pure Q4_0,55.8,18.3038,30.801,727.1,89.8563,75.8713,84.8214,74.8643,MiniCPM5-1B-Q4_0.gguf,500,51.4192,60.0924,29.7586,0.0178,55.8,100,unavailable; no penalty applied,1e92f54e9255240420fc8756fc90c75556aea43ca76237d36f2b77f10d3771b2,7f01dc0465d64f726b2b66139859a8ff1ca204f4901e18b71ddfa678dea19370,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_scalar,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_official_accuracy,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_vector_b10175,unspecified (legacy record),100,100,complete,scalar_judges_reviewed_selection_pending,95.6728,0.3564,1.6828,1088,100,4abfa11a3f86b8c5e4d508cce10daf8f381c968585a3e5961fea3d5cbe312fd8,682.1,1043,45,7,50,50,separate_semantic_review_complete,0,10,10,3,7,,100,,provisional_manual_review,https://huggingface.co/openbmb/MiniCPM5-1B-GGUF/blob/3d55fac80935ae6456986ad2384b5cbcc4d6c948/MiniCPM5-1B-F16.gguf,5,25,manual-judges/control-minicpm-qwen3.json,d170c894d19c3ea586bd00cc1785cdf7df4aafd6e60b35ec3764bc10bdb1582a,8,50,50,manual-stem/minicpm-1b-pure.json,6,16,100,manual-stem-mac/minicpm-1b-pure.json,1081da57ea75c263e66d66a241f84fa93bb333a5aa589ce38a2167c83cee1690,provisional_semantic_review_complete,12,4,estimated_scalar_ARC_proxy_total_not_submission_eligibility,24,10,3,manual-judges-gcp/first-three.json,14cf52b26f27194bfeeeaf090fef13ca9bd455ffe2af6a0bfcd1b1e5a48bb82f,4,10,3,7,0,2,1,4,2,3,0,,complete_reviewed,,3,7,b2c1db11d2f4ab75d9022637703a69a399ccfdd68ef8b747aa2d79049f28d638,458102f5d80ca305dd400a9cbf47c3e2c7ee703623a33fcb689ffb87c275fe12
2,LFM2.5 1.2B Thinking Q4_0,46,13.7819,23.7017,804.3,88.7793,68.3197,81.1551,69.231,LFM2.5-1.2B-Thinking-Q4_0.gguf,500,41.6785,50.3825,21.0637,0.0231,46,91.8796,unavailable; no penalty applied,cbabfbf76fdb35f0fc9bc8bf175cbb25173060bc8ff14b9b7d81d3c7a84fc16f,7f01dc0465d64f726b2b66139859a8ff1ca204f4901e18b71ddfa678dea19370,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_scalar,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_official_accuracy,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_vector_b10175,unspecified (legacy record),100,100,complete,scalar_judges_reviewed_selection_pending,67.7881,0.2679,1.7198,1350.8,100,4abfa11a3f86b8c5e4d508cce10daf8f381c968585a3e5961fea3d5cbe312fd8,759.3,1305.8,45,25,50,50,separate_semantic_review_complete,0,10,10,2,8,,100,,provisional_manual_review,https://huggingface.co/LiquidAI/LFM2.5-1.2B-Thinking-GGUF/blob/9584426effbfa44b677e925793a12188a36b44ce/LFM2.5-1.2B-Thinking-Q4_0.gguf,3,25,manual-judges/lfm-qwen35.json,1b34e6e76f24794cd620cf0e51da42146ddc7325ba2e97ee29ef0008b82b3d2f,27,50,50,manual-stem/lfm-1b-thinking.json,41,53,100,manual-stem-mac/lfm-1b-thinking.json,57b4caa58681b392739efe0ecbb8126e96458c000c79dc1ca58b48e2545bb6fd,provisional_semantic_review_complete,7,4,estimated_scalar_ARC_proxy_total_not_submission_eligibility,25,10,2,manual-judges-gcp/first-three.json,14cf52b26f27194bfeeeaf090fef13ca9bd455ffe2af6a0bfcd1b1e5a48bb82f,3,10,18,19,10,16,10,13,3,5,0,,complete_reviewed,,2,8,b2c1db11d2f4ab75d9022637703a69a399ccfdd68ef8b747aa2d79049f28d638,458102f5d80ca305dd400a9cbf47c3e2c7ee703623a33fcb689ffb87c275fe12
3,Muta Tutor Qwen2.5 1.5B Q4_K_M,77.8,5.6393,17.2784,1117.1,84.4155,67.0617,76.1914,84.1383,Muta-Tutor-Qwen2.5-1.5B-Finetuned-Q4_K_M.gguf,500,73.953,81.2231,7.808,0.2378,77.8,37.5953,unavailable; no penalty applied,a750d00d458c6ab38925364ea1413db00648449180941e47025736d09922e1eb,7f01dc0465d64f726b2b66139859a8ff1ca204f4901e18b71ddfa678dea19370,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_scalar,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_official_accuracy,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_vector_b10175,unspecified (legacy record),100,100,complete,scalar_judges_reviewed_selection_pending,61.6019,0.3203,3.0639,1706.6,100,4abfa11a3f86b8c5e4d508cce10daf8f381c968585a3e5961fea3d5cbe312fd8,1072.1,1661.6,45,44,50,50,separate_semantic_review_complete,0,10,10,10,0,,100,,provisional_manual_review,https://huggingface.co/timiiowolabi/Muta-Tutor-Qwen2.5-1.5B-ADTC-GGUF/blob/a27fa778dd40cf89fc9d66b18cd767e34892ec3a/Muta-Tutor-Qwen2.5-1.5B-Q4_K_M.gguf,10,44,manual-judges/control-minicpm-qwen3.json,53dbb1193174448410b57a12be68b3f0e09a8edf0890ddab18f82c26140c68b0,44,50,50,manual-stem/qwen25-control.json,57,80,100,manual-stem-mac/qwen25-control.json,76da3b4134bafa42074f91a3e7b090ec2cb4e6581f50777971cf6dbeadae1c6f,provisional_semantic_review_complete,5,1,estimated_scalar_ARC_proxy_total_not_submission_eligibility,47,10,10,manual-judges-gcp/first-three.json,14cf52b26f27194bfeeeaf090fef13ca9bd455ffe2af6a0bfcd1b1e5a48bb82f,1,10,22,23,11,21,20,23,4,13,0,,complete_reviewed,,10,0,b2c1db11d2f4ab75d9022637703a69a399ccfdd68ef8b747aa2d79049f28d638,458102f5d80ca305dd400a9cbf47c3e2c7ee703623a33fcb689ffb87c275fe12
4,MiniCPM5 1B Q4_K_M,56,9.546,27.7206,798.6,88.8588,64.8637,84.502,74.9004,MiniCPM5-1B-Q4_K_M.gguf,500,51.6197,60.2888,14.6566,0.0185,56,63.6398,unavailable; no penalty applied,81b64d05a23b17b34c475f42b3e72fbde62d4b92cc34541f7a8031d0752deafa,7f01dc0465d64f726b2b66139859a8ff1ca204f4901e18b71ddfa678dea19370,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_scalar_b10175,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_official_accuracy,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_vector_b10175,unspecified (legacy record),100,100,complete,scalar_judges_reviewed_selection_pending,112.7986,0.3644,2.9039,1110.9,100,4abfa11a3f86b8c5e4d508cce10daf8f381c968585a3e5961fea3d5cbe312fd8,753.6,1065.9,45,13,50,50,pending,0,10,10,2,8,,100,,provisional_manual_review,https://huggingface.co/openbmb/MiniCPM5-1B-GGUF/blob/3d55fac80935ae6456986ad2384b5cbcc4d6c948/MiniCPM5-1B-Q4_K_M.gguf,2,16,manual-judges/remaining-qad-minicpm.json,2407c1475e590920197d3c4d3986521883eb2d8c7edb17dc818b8343bcd1bf17,14,50,50,,11,31,100,manual-stem-mac/minicpm-1b-q4km.json,963f3b094f359a888870432d9dc64276959389d6385eaabcf17cce507d29c1a6,provisional_semantic_review_complete,11,11,estimated_scalar_ARC_proxy_total_not_submission_eligibility,6,10,1,manual-judges-gcp/minicpm-1b-q4km.json,2bddc69b3a91768fe6f379b204ba0968b9e69d3c00bad04181bcde49c255d5ec,10,10,10,15,0,4,1,8,0,4,0,,complete_reviewed,,1,9,b2c1db11d2f4ab75d9022637703a69a399ccfdd68ef8b747aa2d79049f28d638,458102f5d80ca305dd400a9cbf47c3e2c7ee703623a33fcb689ffb87c275fe12
5,Qwen3 1.7B Q4_0,65.2,7.807,15.3858,1212.2,83.0887,64.8317,72.9213,77.1843,Qwen3-1.7B-Q4_0.gguf,500,60.9233,69.245,13.6418,0.0191,65.2,52.0465,unavailable; no penalty applied,c876f159707a4e4f70e045106c69db15bfc935a4981706fd4f65c6e7ea1e81c5,7f01dc0465d64f726b2b66139859a8ff1ca204f4901e18b71ddfa678dea19370,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_scalar,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_official_accuracy,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_vector_b10175,unspecified (legacy record),100,100,complete,scalar_judges_reviewed_selection_pending,44.7098,0.1537,1.9708,1941,100,4abfa11a3f86b8c5e4d508cce10daf8f381c968585a3e5961fea3d5cbe312fd8,1167.2,1896,45,33,50,50,pending,0,10,10,3,7,,100,,provisional_manual_review,https://huggingface.co/unsloth/Qwen3-1.7B-GGUF/blob/d7f544eead698dbd1f15126ef60b45a1e1933222/Qwen3-1.7B-Q4_0.gguf,4,32,manual-judges/control-minicpm-qwen3.json,369904ca9c57abffe1e4534d5bccb2ccb11aa8499a12cc3c8bfb2404228890e1,37,50,50,,59,81,100,manual-stem-mac/qwen3-1b-q40.json,b51f9d71335d9751f972fad9a0a125636ec23c38671626413139a8cccb6c323b,provisional_semantic_review_complete,4,2,estimated_scalar_ARC_proxy_total_not_submission_eligibility,28,10,3,manual-judges-gcp/second-three.json,14cf52b26f27194bfeeeaf090fef13ca9bd455ffe2af6a0bfcd1b1e5a48bb82f,2,10,15,20,21,24,16,24,7,13,0,,complete_reviewed,,3,7,b2c1db11d2f4ab75d9022637703a69a399ccfdd68ef8b747aa2d79049f28d638,458102f5d80ca305dd400a9cbf47c3e2c7ee703623a33fcb689ffb87c275fe12
6,Falcon-H1-Tiny-R 0.6B Q4_K_M,30.4,13.6919,35.7896,497.5,93.0594,61.1957,89.315,63.063,Falcon-H1R-0.6B-Q4_K_M.gguf,500,26.5302,34.5687,17.2442,0.0187,30.4,91.2795,unavailable; no penalty applied,f41497801e96268876a681e65edc7155d15e255bd3de907b6bb29590744b6b74,7f01dc0465d64f726b2b66139859a8ff1ca204f4901e18b71ddfa678dea19370,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_scalar_b10175,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_official_accuracy,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_vector_b10175,,0,100,not_started,scalar_judges_pending,119.3438,0.255,2.6139,765.9,100,4abfa11a3f86b8c5e4d508cce10daf8f381c968585a3e5961fea3d5cbe312fd8,452.5,720.9,45,0,0,0,pending,0,0,3,0,3,<HTTPError 500: 'Internal Server Error'>,0,<HTTPError 500: 'Internal Server Error'>,not_finally_graded,https://huggingface.co/tiiuae/Falcon-H1-Tiny-R-0.6B-GGUF/blob/b01e1ba5d4604914e5dcbd84cf387f4762212a8c/Falcon-H1R-0.6B-Q4_K_M.gguf,3,,,,0,0,0,,,,,,,failed_unranked,,,estimated_scalar_ARC_proxy_total_not_submission_eligibility,,,,,,,10,,,,,,,,,0,,not_started,,0,0,b2c1db11d2f4ab75d9022637703a69a399ccfdd68ef8b747aa2d79049f28d638,458102f5d80ca305dd400a9cbf47c3e2c7ee703623a33fcb689ffb87c275fe12
7,Qwen3.5 2B Q4_0,65,6.1956,13.0953,1367.9,80.9166,61.0746,71.4983,72.9902,Qwen3.5-2B-Q4_0.gguf,500,60.7193,69.052,12.6073,0.2887,65,41.3041,unavailable; no penalty applied,cd70221bebaee0503e0f6717e174250cd7825aa88438b3aabec9ad55731d9bb1,7f01dc0465d64f726b2b66139859a8ff1ca204f4901e18b71ddfa678dea19370,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_scalar,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_official_accuracy,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_vector_b10175,unspecified (legacy record),100,100,complete,scalar_judges_reviewed_selection_pending,42.4621,0.0548,2.1136,2043,87.3017,4abfa11a3f86b8c5e4d508cce10daf8f381c968585a3e5961fea3d5cbe312fd8,1322.9,1998,45,10,50,50,pending,0,10,10,2,8,,100,,provisional_manual_review,https://huggingface.co/unsloth/Qwen3.5-2B-GGUF/blob/f6d5376be1edb4d416d56da11e5397a961aca8ae/Qwen3.5-2B-Q4_0.gguf,2,20,manual-judges/lfm-qwen35.json,b18d989bfa289317dc3a7d8de880deed2a0681da8619405e285b6c23afad57ea,11,50,50,,71,94,100,manual-stem-mac/qwen35-2b-q40.json,7ee53fb4e291ccde55d0d663194673dff67c58f43e130c421ef60a023bcad380,provisional_semantic_review_complete,2,7,estimated_scalar_ARC_proxy_total_not_submission_eligibility,10,10,1,manual-judges-gcp/second-three.json,14cf52b26f27194bfeeeaf090fef13ca9bd455ffe2af6a0bfcd1b1e5a48bb82f,9,10,23,24,20,23,21,25,7,22,0,,complete_reviewed,,1,9,b2c1db11d2f4ab75d9022637703a69a399ccfdd68ef8b747aa2d79049f28d638,458102f5d80ca305dd400a9cbf47c3e2c7ee703623a33fcb689ffb87c275fe12
8,Qwen3.5 2B Q4_K_M,65.2,4.4225,11.8554,1430.5,80.0432,57.4536,73.2031,70.9515,Qwen3.5-2B-Q4_K_M.gguf,500,60.9233,69.245,7.0812,0.0935,65.2,29.4832,unavailable; no penalty applied,aaf42c8b7c3cab2bf3d69c355048d4a0ee9973d48f16c731c0520ee914699223,7f01dc0465d64f726b2b66139859a8ff1ca204f4901e18b71ddfa678dea19370,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_scalar_b10175,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_official_accuracy,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_vector_b10175,unspecified (legacy record),35,100,incomplete,scalar_judges_reviewed_selection_pending,40.3176,0.0797,2.6807,1920.8,79.0361,4abfa11a3f86b8c5e4d508cce10daf8f381c968585a3e5961fea3d5cbe312fd8,1385.5,1875.8,45,5,25,10,pending,100,10,10,2,8,,100,,provisional_manual_review,https://huggingface.co/unsloth/Qwen3.5-2B-GGUF/blob/f6d5376be1edb4d416d56da11e5397a961aca8ae/Qwen3.5-2B-Q4_K_M.gguf,2,20,manual-judges/lfm-qwen35.json,69d6a57b7632f5007ee04c8146ff1bd23bedf1f3db3070ef170dcb59574c1c78,13,50,50,,77,95,100,manual-stem-mac/qwen35-2b-q4km.json,b80ca939198eebb6fdffaa795d707a1aa6c2942ad5ac454d737ce44eb52f77d5,provisional_semantic_review_complete,1,7,estimated_scalar_ARC_proxy_total_not_submission_eligibility,20,10,2,manual-judges-gcp/qwen35-2b-q4km.json,b084080f4f37116556fdeceea4be7a968bd5dd9130abbf4470c7a629351a04a7,5,10,22,22,22,25,23,25,10,23,28,raw/stem-responses-gcp-remainder.jsonl,complete_reviewed,,2,8,b2c1db11d2f4ab75d9022637703a69a399ccfdd68ef8b747aa2d79049f28d638,458102f5d80ca305dd400a9cbf47c3e2c7ee703623a33fcb689ffb87c275fe12
9,MiniCPM5 2B Q4_K_M,67.6,3.9663,12.3598,1651.7,76.9573,57.1241,64.2787,71.3754,MiniCPM5-2B-Q4_K_M.gguf,500,63.3772,71.5545,5.0992,0.0054,67.6,26.4422,unavailable; no penalty applied,ec2d5801640099e97d8d7e8003ad4d81f336e757811f03a26173dddf386602fd,7f01dc0465d64f726b2b66139859a8ff1ca204f4901e18b71ddfa678dea19370,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_scalar_b10175,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_official_accuracy,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_vector_b10175,unspecified (legacy record),100,100,complete,scalar_judges_reviewed_selection_pending,40.1444,0.0682,3.1162,2560.5,82.3988,4abfa11a3f86b8c5e4d508cce10daf8f381c968585a3e5961fea3d5cbe312fd8,1606.7,2515.5,45,9,50,50,pending,0,10,10,2,8,,100,,provisional_manual_review,https://huggingface.co/openbmb/MiniCPM5-2B-GGUF/blob/2079a22f3beaa4e306449978533478fe0522f4b3/MiniCPM5-2B-Q4_K_M.gguf,2,20,manual-judges/minicpm-2b.json,730f0d2c2e789e4111345261fe1b4f455eb44ffc095683accb4d2e1143ac513e,10,50,50,,17,35,100,manual-stem-mac/minicpm-2b-q4km.json,afeabf3cdb05a8eb7fb774f4e4eaa9461dba5458372cd17e23b058f52b585a09,provisional_semantic_review_complete,9,7,estimated_scalar_ARC_proxy_total_not_submission_eligibility,20,10,2,manual-judges-gcp/minicpm-2b.json,ae931387c018c841a13bbd7c02f94d3bc8cfbb2f7a42eace56e07a7261299878,5,10,9,13,4,9,1,3,3,10,0,,complete_reviewed,,2,8,b2c1db11d2f4ab75d9022637703a69a399ccfdd68ef8b747aa2d79049f28d638,458102f5d80ca305dd400a9cbf47c3e2c7ee703623a33fcb689ffb87c275fe12
10,OpenReasoning Nemotron 1.5B Q4_K_M,53.6,5.772,17.1991,1117.2,84.4141,55.2269,76.197,72.0394,nvidia_OpenReasoning-Nemotron-1.5B-Q4_K_M.gguf,500,49.2179,57.9272,7.7721,0.0149,53.6,38.4801,unavailable; no penalty applied,7c39e6fa1f335bec37e51404d104b47de0b80aafeaae534080aa8c2e11c71101,7f01dc0465d64f726b2b66139859a8ff1ca204f4901e18b71ddfa678dea19370,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_scalar_b10175,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_official_accuracy,x86_cloud_proxy_gcp_n2_custom_4_8192_2c4t_vector_b10175,,0,100,not_started,scalar_judges_pending,60.4724,0.0434,2.9797,1706.2,100,4abfa11a3f86b8c5e4d508cce10daf8f381c968585a3e5961fea3d5cbe312fd8,1072.2,1661.2,45,0,0,0,pending,0,0,10,0,10,,100,,provisional_manual_review,https://huggingface.co/bartowski/nvidia_OpenReasoning-Nemotron-1.5B-GGUF/blob/9b6c802caafdc99c2924ddb374c5a5995f0bb2f1/nvidia_OpenReasoning-Nemotron-1.5B-Q4_K_M.gguf,0,0,manual-judges/vibe-nemotron.json,7109d5a5dfc07071ddee0eda54130eb3344d22c04ab6406379557d5da29edafb,9,50,50,,35,60,100,manual-stem-mac/nemotron-1b.json,e0550f8b158fe258409e646af2331cb4bb1a9342cf59ab68d250d4d38b9fb2ef,provisional_semantic_review_complete,8,12,estimated_scalar_ARC_proxy_total_not_submission_eligibility,,,,,,,10,18,20,10,14,6,21,1,5,0,,not_started,,0,0,b2c1db11d2f4ab75d9022637703a69a399ccfdd68ef8b747aa2d79049f28d638,458102f5d80ca305dd400a9cbf47c3e2c7ee703623a33fcb689ffb87c275fe12
