tag	file	pp_tok_s	tg_tok_s	tg_std	peak_rss_mb	steady_rss_mb	wall_s	stats
ours-default	bitcpm4-8b-tq2_0.gguf	22.30	19.97	0.56	2501.4	2208.1	173.4	
ours-lazy-norepack	bitcpm4-8b-tq2_0.gguf	23.91	18.11	0.14	2319.3	2248.1	163.9	
ours-lazy-norepack-ub128	bitcpm4-8b-tq2_0.gguf	23.97	18.03	0.10	2225.8	2205.5	164.0	
ours-stream-all-ub128	bitcpm4-8b-tq2_0.gguf	23.58	10.29	0.27	2146.4	365.5	192.7	muta-residency: graphs=665 gates=21945 populate=1 (0.0 ms, 0.02 ms/op) evict=21182 (25212.7 ms, 1.19 ms/op) populate_fail=0 gate_missed=21847
ours-stream-pin1200-ub128	bitcpm4-8b-tq2_0.gguf	23.44	13.11	0.15	1336.0	1287.9	180.0	muta-residency: graphs=0 gates=10640 populate=18 (47.1 ms, 2.61 ms/op) evict=10639 (12961.1 ms, 1.22 ms/op) populate_fail=0 gate_missed=10640
envocab-ours-lazy-norepack-ub128	bitcpm4-8b-tq2_0-envocab.gguf	24.97	18.86	1.28	2118.5	2046.9	165.2	
envocab-ours-stream-all-ub128	bitcpm4-8b-tq2_0-envocab.gguf	23.73	10.63	0.11	323.6	266.8	191.5	muta-residency: graphs=665 gates=21945 populate=1 (0.0 ms, 0.01 ms/op) evict=21280 (25032.2 ms, 1.18 ms/op) populate_fail=0 gate_missed=21945
envocab-ours-stream-pin1100-ub128	bitcpm4-8b-tq2_0-envocab.gguf	23.89	13.70	0.07	1689.0	1215.5	175.6	muta-residency: graphs=0 gates=10640 populate=18 (32.7 ms, 1.82 ms/op) evict=10639 (12299.9 ms, 1.16 ms/op) populate_fail=0 gate_missed=10640
v2-envocab64-lazy-ub128	bitcpm4-8b-tq2_0-envocab64.gguf	24.01	18.64	0.09	2129.0	2109.7	172.0	
v2-envocab64-lazy-norepack-ub128	bitcpm4-8b-tq2_0-envocab64.gguf	23.99	18.76	0.06	2128.5	2105.8	162.8	
v2-envocab64-stream-all-ub128	bitcpm4-8b-tq2_0-envocab64.gguf	19.84	10.47	0.16	278.8	218.6	216.2	muta-residency: graphs=665 gates=21945 populate=1 (0.0 ms, 0.02 ms/op) evict=21280 (20239.7 ms, 0.95 ms/op) populate_fail=0 gate_missed=21945 inline_evict=0
v2-envocab64-stream-pin1000-ub128	bitcpm4-8b-tq2_0-envocab64.gguf	23.42	13.04	0.07	1135.6	1072.3	181.1	muta-residency: graphs=0 gates=11970 populate=16 (28.2 ms, 1.76 ms/op) evict=11969 (11674.8 ms, 0.98 ms/op) populate_fail=0 gate_missed=11970 inline_evict=0
v2-envocab64-stream-pin1300-ub128	bitcpm4-8b-tq2_0-envocab64.gguf	23.63	14.04	0.39	1408.0	1355.6	176.2	muta-residency: graphs=0 gates=8645 populate=21 (40.2 ms, 1.91 ms/op) evict=8644 (7915.8 ms, 0.92 ms/op) populate_fail=0 gate_missed=8645 inline_evict=0
v2-envocab64-stream-pin1500-ub128	bitcpm4-8b-tq2_0-envocab64.gguf	23.47	15.35	0.09	1635.8	1591.2	173.3	muta-residency: graphs=0 gates=5985 populate=25 (47.2 ms, 1.89 ms/op) evict=5984 (5507.4 ms, 0.92 ms/op) populate_fail=0 gate_missed=5985 inline_evict=0
